Date,Close,Volume,Open,High,Low,PorportionalChange,PercentChange,cumChange5Days
05/01/2020,282.79,125180000,285.31,290.6572,281.52,0.973526576700633,-2.64734232993665,-0.000636109834961651
05/04/2020,283.57,80873210,280.74,283.9,279.13,1.00275823048906,0.275823048905544,-0.0121233234628074
05/05/2020,286.19,79569940,286.64,289.25,283.7134,1.00923934125613,0.923934125612735,0.00160991145487643
05/06/2020,284.25,73632630,288.04,288.46,283.78,0.993221286557881,-0.677871344211889,-0.0305583029228135
05/07/2020,287.68,75250410,287.75,289.78,287.13,1.01206684256816,1.20668425681618,-0.00963921784631827
05/08/2020,292.44,76622130,291.09,292.95,289.86,1.01654616240267,1.65461624026697,0.0341242618197306
05/11/2020,292.5,79514230,290.34,294,289.88,1.00020517029134,0.0205170291341927,0.0314913425256542
05/12/2020,286.67,95870790,293.79,294.24,286.52,0.980068376068376,-1.99316239316238,0.00167720744959299
05/13/2020,281.6,144721100,286.06,287.19,278.965,0.982314159137684,-1.76858408623155,-0.00932277924362734
05/14/2020,284.97,121977900,278.95,285.11,272.99,1.01196732954545,1.19673295454545,-0.00942018909900511
05/15/2020,286.28,111146300,282.37,286.33,281.34,1.00459697512019,0.459697512018797,-0.0210641499110976
05/18/2020,295,120320200,293.05,296.75,292.7,1.03045968981417,3.0459689814168,0.00854700854700763
05/19/2020,291.97,95189320,294.35,296.205,291.95,0.989728813559322,-1.02711864406779,0.0184881571144511
05/20/2020,296.93,85861690,295.82,297.87,295.57,1.01698804671713,1.69880467171284,0.0544389204545466
05/21/2020,294.88,78293930,296.79,297.67,293.6886,0.993096015896002,-0.690398410399762,0.0347755904130311
05/22/2020,295.44,63958200,294.57,295.63,293.22,1.00189907759088,0.189907759088448,0.0319966466396522
05/26/2020,299.08,88951440,301.93,302.19,295.4646,1.01232060655294,1.2320606552938,0.0138305084745749
05/27/2020,303.53,104817400,302.12,303.57,296.87,1.0148789621506,1.48789621505951,0.0395931088810531
